topic_code,type,title,provider,url,duration,notes,is_primary,rank,pace,lod,breadth,dok,wida,visuals,series,prereq,video_id
11A3,video,Cell Size and Scale,Learn.Genetics Utah,https://learn.genetics.utah.edu/content/cells/scale/,varies,None - interactive zoom,yes,1,slow,shallow,,,3,high,,,V0058
11A3,video,Eukaryotic Cells Part 1,Professor Dave Explains,https://www.youtube.com/watch?v=4OpBylwH9DU,11:26,,yes,1,medium,shallow,,,3,high,,,V0046
11A3,video,Introduction to Cells: The Grand Cell Tour,Amoeba Sisters,youtube.com/watch?v=8IlzKri08kk,~5 min,"Prokaryotic vs eukaryotic, cell theory, organelles overview",yes,1,slow,shallow,,,3,,Amoeba Sisters Cell Series,,V0198
11A3,video,Prokaryotic Cells,Professor Dave Explains,https://www.youtube.com/watch?v=PBz-JJKhgWc,9:12,,yes,1,medium,shallow,,,3,high,,,V0045
11A3,video,A Tour of the Cell,Bozeman Science,youtube.com/watch?v=cj8dDTHGJBY,~11 min,"Comprehensive cell structure, organelles, functions",,,medium,medium,,,4,,Bozeman Science,,V0199
11A3,video,Cellular Organelles,Bozeman Science (043),youtube.com/watch?v=Hmwvj9X4GNY,~8 min,"Detailed organelle functions: nucleus, ER, ribosomes, golgi, mitochondria",,,medium,medium,,,4,,Bozeman Science,,V0200
11A3,video,Cellular Organelles (AP Biology 043),Bozeman Science,https://www.youtube.com/watch?v=aczbMlSMr8U,~12 min,"Covers endomembrane system, endoplasmic reticulum, golgi apparatus, vesicles, lysosomes, ribosomes.",,,medium,medium,,,4,,Bozeman Science,,V0482
11A3,video,A Tour of the Cell: Crash Course Biology #23,Crash Course,https://www.youtube.com/watch?v=jsDxw63QqK0,~13 min,"Pre-teach: organelle, nucleus, endoplasmic reticulum, golgi apparatus, vesicle, endosymbiosis",,,fast,medium,,,4,high,Crash Course Biology,,V0525
11B,video,Bacteria (Updated),Amoeba Sisters,https://www.youtube.com/watch?v=sDLfUagbqbU,~8 min,Binary fission; helpful vs harmful,yes,1,slow,shallow,,,3,high,Amoeba Sisters,,V0309
11B,video,Cell Size and Scale,Learn.Genetics Utah,https://learn.genetics.utah.edu/content/cells/scale/,varies,None - interactive zoom,yes,1,slow,shallow,,,3,high,,,V0058
11B,video,Eukaryotic Cells Part 1,Professor Dave Explains,https://www.youtube.com/watch?v=4OpBylwH9DU,11:26,,yes,1,medium,shallow,,,3,high,,,V0046
11B,video,Introduction to Cells: The Grand Cell Tour,Amoeba Sisters,youtube.com/watch?v=8IlzKri08kk,~5 min,"Prokaryotic vs eukaryotic, cell theory, organelles overview",yes,1,slow,shallow,,,3,,Amoeba Sisters Cell Series,,V0198
11B,video,Prokaryotic Cells,Professor Dave Explains,https://www.youtube.com/watch?v=PBz-JJKhgWc,9:12,,yes,1,medium,shallow,,,3,high,,,V0045
11B,video,Prokaryotic vs. Eukaryotic Cells (Updated),Amoeba Sisters,https://www.youtube.com/watch?v=Pxujitlv8wc,~6 min,"Covers prokaryote and eukaryote differences, nucleus, organelles. Pre-teach: cell, DNA.",yes,1,slow,shallow,,,3,high,Amoeba Sisters Cell Series,,V0288
11B,video,A Tour of the Cell,Bozeman Science,youtube.com/watch?v=cj8dDTHGJBY,~11 min,"Comprehensive cell structure, organelles, functions",,,medium,medium,,,4,,Bozeman Science,,V0199
11B,video,Cellular Organelles,Bozeman Science (043),youtube.com/watch?v=Hmwvj9X4GNY,~8 min,"Detailed organelle functions: nucleus, ER, ribosomes, golgi, mitochondria",,,medium,medium,,,4,,Bozeman Science,,V0200
11B,video,A Tour of the Cell,Bozeman Science,https://www.youtube.com/watch?v=1Z9pqST72is,~15 min,"Covers prokaryote, eukaryote differences, cell structures, plant vs animal cell comparison.",,,medium,medium,,,4,,Bozeman Science,,V0484
11B,video,A Tour of the Cell: Crash Course Biology #23,Crash Course,https://www.youtube.com/watch?v=jsDxw63QqK0,~13 min,"Pre-teach: prokaryote, eukaryote, nucleus, organelle, cell theory",,,fast,medium,,,4,high,Crash Course Biology,,V0525
12A,video,Cell Size and Scale,Learn.Genetics Utah,https://learn.genetics.utah.edu/content/cells/scale/,varies,None - interactive zoom,yes,1,slow,shallow,,,3,high,,,V0058
12A,video,Eukaryotic Cells Part 1,Professor Dave Explains,https://www.youtube.com/watch?v=4OpBylwH9DU,11:26,,yes,1,medium,shallow,,,3,high,,,V0046
12A,video,Inside the Cell Membrane,Amoeba Sisters,https://www.youtube.com/watch?v=inside-cell-membrane-amoeba,~7 min,"Pre-teach: hydrophilic, hydrophobic, phospholipid. TIER 2 GAP FILL.",yes,1,slow,shallow,,,3,high,Amoeba Sisters Cell Series,,V0458
12A,video,Introduction to Cells: The Grand Cell Tour,Amoeba Sisters,youtube.com/watch?v=8IlzKri08kk,~5 min,"Prokaryotic vs eukaryotic, cell theory, organelles overview",yes,1,slow,shallow,,,3,,Amoeba Sisters Cell Series,,V0198
12A,video,Prokaryotic Cells,Professor Dave Explains,https://www.youtube.com/watch?v=PBz-JJKhgWc,9:12,,yes,1,medium,shallow,,,3,high,,,V0045
12A,video,Cell Transport,Amoeba Sisters,https://www.youtube.com/watch?v=Ptmlvtei8hw,~9 min,"Passive/active transport, diffusion, osmosis, endocytosis, exocytosis",yes,1,slow,shallow,,,3,,Amoeba Sisters Cell Series,,V0218
12A,simulation,Membrane Channels,PhET,https://phet.colorado.edu/en/simulations/membrane-channels,Interactive,Pre-teach: phospholipid bilayer diffusion gradient. Visualizes membrane structure.,yes,1,slow,,,,,,,,
12A,video,A Tour of the Cell,Bozeman Science,youtube.com/watch?v=cj8dDTHGJBY,~11 min,"Comprehensive cell structure, organelles, functions",,,medium,medium,,,4,,Bozeman Science,,V0199
12A,video,Cell Membranes,Bozeman Science,https://www.youtube.com/watch?v=y31DlJ6uGgE,~11 min,Membrane proteins; transport,,,medium,medium,,,4,high,Bozeman Science,,V0325
12A,video,Cellular Organelles,Bozeman Science (043),youtube.com/watch?v=Hmwvj9X4GNY,~8 min,"Detailed organelle functions: nucleus, ER, ribosomes, golgi, mitochondria",,,medium,medium,,,4,,Bozeman Science,,V0200
12A,video,Crash Course Biology #24: Cell Membranes,Crash Course / HHMI BioInteractive,https://www.biointeractive.org/classroom-resources/crash-course-biology-24-cell-membranes,~11 min,"Pre-teach: phospholipid, selective permeability. Good intro before transport unit.",,,fast,medium,,,4,medium,Crash Course Biology,,V0462
12A,video,Transport Across Cell Membranes (016),Bozeman Science,https://www.youtube.com/watch?v=RPAZvs4hvGA,~14 min,"Covers simple diffusion, facilitated diffusion, osmosis, active transport, concentration gradient, passive transport.",,,medium,medium,,,4,,Bozeman Science,,V0485
12A,video,Cell Membranes: How Does Stuff Get Into Your Cells?: Crash Course Biology #24,Crash Course,https://www.youtube.com/watch?v=9Ia8zH-qMZw,~13 min,"Pre-teach: phospholipid bilayer, active transport, passive transport, endocytosis, exocytosis",,,fast,medium,,,4,high,Crash Course Biology,,V0529
12B,video,Cell Size and Scale,Learn.Genetics Utah,https://learn.genetics.utah.edu/content/cells/scale/,varies,None - interactive zoom,yes,1,slow,shallow,,,3,high,,,V0058
12B,video,Eukaryotic Cells Part 1,Professor Dave Explains,https://www.youtube.com/watch?v=4OpBylwH9DU,11:26,,yes,1,medium,shallow,,,3,high,,,V0046
12B,video,Inside the Cell Membrane,Amoeba Sisters,https://www.youtube.com/watch?v=inside-cell-membrane-amoeba,~7 min,"Pre-teach: hydrophilic, hydrophobic, phospholipid. TIER 2 GAP FILL.",yes,1,slow,shallow,,,3,high,Amoeba Sisters Cell Series,,V0458
12B,video,Introduction to Cells: The Grand Cell Tour,Amoeba Sisters,youtube.com/watch?v=8IlzKri08kk,~5 min,"Prokaryotic vs eukaryotic, cell theory, organelles overview",yes,1,slow,shallow,,,3,,Amoeba Sisters Cell Series,,V0198
12B,video,Prokaryotic Cells,Professor Dave Explains,https://www.youtube.com/watch?v=PBz-JJKhgWc,9:12,,yes,1,medium,shallow,,,3,high,,,V0045
12B,video,Cell Transport,Amoeba Sisters,https://www.youtube.com/watch?v=Ptmlvtei8hw,~9 min,"Passive/active transport, diffusion, osmosis, endocytosis, exocytosis",yes,1,slow,shallow,,,3,,Amoeba Sisters Cell Series,,V0218
12B,video,Sodium Potassium Pump,Amoeba Sisters,https://www.youtube.com/watch?v=7NY6XdPBhxo,~9 min,"Covers sodium potassium pump, active transport, ATP pump, membrane pump, electrochemical gradient.",yes,1,slow,shallow,,,3,,Amoeba Sisters,,V0486
12B,simulation,Membrane Channels - Proteins,PhET,https://phet.colorado.edu/en/simulations/membrane-channels,Interactive,Pre-teach: channel protein carrier. Focus on protein types in membrane.,yes,1,slow,,,,,,,,
12B,video,A Tour of the Cell,Bozeman Science,youtube.com/watch?v=cj8dDTHGJBY,~11 min,"Comprehensive cell structure, organelles, functions",,,medium,medium,,,4,,Bozeman Science,,V0199
12B,video,Cell Membranes,Bozeman Science,https://www.youtube.com/watch?v=y31DlJ6uGgE,~11 min,Membrane proteins; transport,,,medium,medium,,,4,high,Bozeman Science,,V0325
12B,video,Cellular Organelles,Bozeman Science (043),youtube.com/watch?v=Hmwvj9X4GNY,~8 min,"Detailed organelle functions: nucleus, ER, ribosomes, golgi, mitochondria",,,medium,medium,,,4,,Bozeman Science,,V0200
12B,video,Episode 25 - Cell Communication: Your Cells Are Talking about You,HHMI BioInteractive - Crash Course Biology,https://www.biointeractive.org/CrashCourse/biology-25,Unknown,"Pre-teach: signal, receptor, ligand, pathway; pause after each signaling type.",,,fast,medium,,,4,high,Crash Course,,V0005
12B,video,In Da Club - Membranes and Transport: Crash Course Biology #5,Crash Course,https://www.youtube.com/watch?v=dPKvHrD1eS4,~12 min,"Covers endocytosis, exocytosis, phagocytosis, pinocytosis, vesicle transport, bulk transport.",,,fast,medium,,,4,,Crash Course Biology,,V0487
12B,video,Cell Membranes: How Does Stuff Get Into Your Cells?: Crash Course Biology #24,Crash Course,https://www.youtube.com/watch?v=9Ia8zH-qMZw,~13 min,"Pre-teach: phospholipid bilayer, active transport, passive transport, endocytosis, exocytosis",,,fast,medium,,,4,high,Crash Course Biology,,V0529
13A1,video,Cell Transport,Amoeba Sisters,https://www.youtube.com/watch?v=Ptmlvtei8hw,~8 min,"Covers simple diffusion, concentration gradient, passive transport. Also covers facilitated diffusion and active transport.",yes,1,slow,shallow,,,3,,Amoeba Sisters Cell Series,,V0218
13A1,video,Osmosis and Water Potential (Updated),Amoeba Sisters,https://www.youtube.com/watch?v=L-osEc07vMs,~11 min,"Covers tonicity, hypotonic, hypertonic, isotonic solutions, osmosis, water potential, cell shrink, cell swell.",yes,1,slow,shallow,,,3,high,Amoeba Sisters,,V0290
13A1,simulation,Membrane Channels - Diffusion,PhET,https://phet.colorado.edu/en/simulations/membrane-channels,Interactive,Pre-teach: diffusion concentration gradient. Add particles - watch movement.,yes,1,slow,,,,,,,,
13A1,video,Transport Across Cell Membranes (016),Bozeman Science,https://www.youtube.com/watch?v=RPAZvs4hvGA,~14 min,"Covers tonicity, hypotonic, hypertonic, isotonic, osmosis, passive transport, active transport.",,,medium,medium,,,4,,Bozeman Science,,V0485
13A2,video,Diffusion,Amoeba Sisters,https://www.youtube.com/watch?v=jhszFBtBPoI,~8 min,"Covers facilitated diffusion, transport proteins, channel proteins. Pre-teach: concentration gradient, passive transport.",yes,1,slow,shallow,,,3,,Amoeba Sisters,,V0470
13A2,video,Osmosis and Water Potential (Updated),Amoeba Sisters,https://www.youtube.com/watch?v=L-osEc07vMs,~11 min,"Covers tonicity, hypotonic, hypertonic, isotonic solutions, osmosis, water potential, cell shrink, cell swell.",yes,1,slow,shallow,,,3,high,Amoeba Sisters,,V0290
13A2,simulation,Membrane Channels - Facilitated,PhET,https://phet.colorado.edu/en/simulations/membrane-channels,Interactive,Pre-teach: facilitated transport channel. Add specific channels for particles.,yes,1,slow,,,,,,,,
13A2,video,Transport Across Cell Membranes (016),Bozeman Science,https://www.youtube.com/watch?v=RPAZvs4hvGA,~14 min,"Covers tonicity, hypotonic, hypertonic, isotonic, osmosis, passive transport, active transport.",,,medium,medium,,,4,,Bozeman Science,,V0485
13B1,video,Cell Transport,Amoeba Sisters,https://www.youtube.com/watch?v=Ptmlvtei8hw,~8 min,Clear animations; tonicity examples,yes,1,slow,shallow,,,3,,Amoeba Sisters Cell Series,,V0218
13B1,video,Osmosis and Water Potential,Amoeba Sisters,https://www.youtube.com/watch?v=L-osEc07vMs,~6 min,Great visualizations; plant examples,yes,1,slow,shallow,,,3,high,Amoeba Sisters,,V0290
13B1,interactive,Osmosis Data Analysis,LabXchange,https://www.labxchange.org/library/items/lb:LabXchange:9234127c:html:1,~20 min,Pre-teach: tonicity hypertonic hypotonic. Graphing focus.,yes,1,,,,,,,,,
13B2,video,Osmosis and Water Potential (Updated),Amoeba Sisters,https://www.youtube.com/watch?v=L-osEc07vMs,~11 min,"Covers hypertonic, hypotonic, isotonic solutions, osmosis, water potential, turgor pressure. Pre-teach: diffusion, concentration gradient.",yes,1,slow,shallow,,,3,high,Amoeba Sisters,,V0290
13B2,lab,The Egg Lab - Osmosis,LabXchange,https://about.labxchange.org/featured/virtual-lab-simulations,30 min,Pre-teach: semi-permeable solute solvent. Virtual egg osmosis model.,yes,1,,,,,,,,,
13C1,video,Cell Transport,Amoeba Sisters,https://www.youtube.com/watch?v=Ptmlvtei8hw,~8 min,Clear animations; tonicity examples,yes,1,slow,shallow,,,3,,Amoeba Sisters Cell Series,,V0218
13C2,video,Cell Transport,Amoeba Sisters,https://www.youtube.com/watch?v=Ptmlvtei8hw,~8 min,"Covers endocytosis, exocytosis, phagocytosis, pinocytosis, bulk transport. Pre-teach: cell membrane, vesicle.",yes,1,slow,shallow,,,3,,Amoeba Sisters Cell Series,,V0218
14A,video,"Antibiotics, Antivirals, and Vaccines",Amoeba Sisters,https://www.youtube.com/watch?v=zBL4ZnFUKT8,~8 min,Clear comparison; timely topic,yes,1,slow,shallow,,,3,high,Amoeba Sisters,,V0019
14A,video,DNA Evidence For Evolution: Endogenous Retroviruses,Stated Clearly,statedclearly.com/videos/evidence-for-evolution-in-your-own-dna/,~10 min,"ERVs shared between humans and chimps, molecular evidence",yes,1,slow,shallow,,,3,,Stated Clearly,,V0239
14A,interactive,Virus Explorer Interactive,HHMI BioInteractive,https://www.biointeractive.org/classroom-resources/virus-explorer,Interactive,Self-paced; compare different viruses; vaccine discussion,yes,1,,medium,,,4,high,,,V0040
14A,video,Viruses (Updated),Amoeba Sisters,https://www.youtube.com/watch?v=8FqlTslU22s,~8 min,Replication cycles; why not alive,yes,1,slow,shallow,,,3,high,Amoeba Sisters,,V0310
14A,video,ATP in Use,HHMI BioInteractive,https://www.biointeractive.org/classroom-resources/atp-use,~3 min,,yes,1,,shallow,,,3,high,,,V0028
14A,video,Photosynthesis and Cellular Respiration Comparison,Amoeba Sisters,https://www.youtube.com/watch?v=0ijxa6Bcd2s,~7 min,Excellent side-by-side; equation comparison,yes,1,slow,shallow,,,3,high,Amoeba Sisters Cell Series,,V0291
14A,video,Cellular Respiration and the Mighty Mitochondria,Amoeba Sisters,https://www.youtube.com/watch?v=4Eo7JtRA7lg,~8 min,"Covers mitochondria, chloroplasts, ATP production, energy organelles, powerhouse of the cell.",yes,1,slow,shallow,,,3,,Amoeba Sisters Cell Series,,V0483
14A,interactive,Virus Explorer,HHMI BioInteractive,https://www.biointeractive.org/classroom-resources/virus-explorer,~45 min,Pre-teach: virus capsid envelope. 3D models of 10 viruses. Rotate and explore.,yes,1,,,,,,,,,
14A,video,DNA Evidence For Evolution: Endogenous Retroviruses,Stated Clearly,https://www.statedclearly.com/videos/evidence-for-evolution-in-your-own-dna-endogenous-retroviruses/,~8 min,"Pre-teach: retrovirus, genome insertion. Specific molecular evidence.",,,slow,medium,,,4,high,Stated Clearly,,V0457
14A,video,Episode 39 - Viruses & Vaccines: How Do Vaccines Work?,HHMI BioInteractive - Crash Course Biology,https://www.biointeractive.org/CrashCourse/biology-39,0:12:49,"Pre-teach: capsid, envelope, antibody, antiviral, reverse transcriptase; pause at vaccine types.",,,fast,medium,,,4,high,Crash Course,,V0007
